# JMH version: 1.23
# VM version: JDK 14.0.1, OpenJDK Server VM, 14.0.1+7-Ubuntu-1ubuntu1
# VM invoker: /usr/lib/jvm/java-14-openjdk-armhf/bin/java
# VM options: -Djava.library.path=/home/ubuntu/lib/armv6hf-sdk/lib
# Warmup: 5 iterations, 10 s each
# Measurement: 5 iterations, 10 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Throughput, ops/time
# Benchmark: org.status6.tofximage.Benchmarks.forEachOrdered

# Run progress: 0.00% complete, ETA 01:56:40
# Fork: 1 of 5
# Warmup Iteration   1: 3.652 ops/s
# Warmup Iteration   2: 4.077 ops/s
# Warmup Iteration   3: 4.172 ops/s
# Warmup Iteration   4: 4.094 ops/s
# Warmup Iteration   5: 4.195 ops/s
Iteration   1: 4.158 ops/s
Iteration   2: 4.150 ops/s
Iteration   3: 4.172 ops/s
Iteration   4: 4.165 ops/s
Iteration   5: 4.193 ops/s

# Run progress: 1.43% complete, ETA 02:22:43
# Fork: 2 of 5
# Warmup Iteration   1: 3.631 ops/s
# Warmup Iteration   2: 4.082 ops/s
# Warmup Iteration   3: 4.169 ops/s
# Warmup Iteration   4: 4.106 ops/s
# Warmup Iteration   5: 4.106 ops/s
Iteration   1: 4.167 ops/s
Iteration   2: 4.188 ops/s
Iteration   3: 4.146 ops/s
Iteration   4: 4.188 ops/s
Iteration   5: 4.107 ops/s

# Run progress: 2.86% complete, ETA 02:19:58
# Fork: 3 of 5
# Warmup Iteration   1: 3.635 ops/s
# Warmup Iteration   2: 4.089 ops/s
# Warmup Iteration   3: 4.125 ops/s
# Warmup Iteration   4: 4.072 ops/s
# Warmup Iteration   5: 4.085 ops/s
Iteration   1: 4.133 ops/s
Iteration   2: 4.151 ops/s
Iteration   3: 4.112 ops/s
Iteration   4: 4.153 ops/s
Iteration   5: 4.150 ops/s

# Run progress: 4.29% complete, ETA 02:17:42
# Fork: 4 of 5
# Warmup Iteration   1: 3.661 ops/s
# Warmup Iteration   2: 4.128 ops/s
# Warmup Iteration   3: 4.151 ops/s
# Warmup Iteration   4: 4.119 ops/s
# Warmup Iteration   5: 4.095 ops/s
Iteration   1: 4.159 ops/s
Iteration   2: 4.145 ops/s
Iteration   3: 4.178 ops/s
Iteration   4: 4.163 ops/s
Iteration   5: 4.144 ops/s

# Run progress: 5.71% complete, ETA 02:15:28
# Fork: 5 of 5
# Warmup Iteration   1: 3.657 ops/s
# Warmup Iteration   2: 4.123 ops/s
# Warmup Iteration   3: 4.148 ops/s
# Warmup Iteration   4: 4.126 ops/s
# Warmup Iteration   5: 4.143 ops/s
Iteration   1: 4.154 ops/s
Iteration   2: 4.192 ops/s
Iteration   3: 4.180 ops/s
Iteration   4: 4.182 ops/s
Iteration   5: 4.166 ops/s


Result "org.status6.tofximage.Benchmarks.forEachOrdered":
  4.160 ±(99.9%) 0.017 ops/s [Average]
  (min, avg, max) = (4.107, 4.160, 4.193), stdev = 0.022
  CI (99.9%): [4.143, 4.177] (assumes normal distribution)


# JMH version: 1.23
# VM version: JDK 14.0.1, OpenJDK Server VM, 14.0.1+7-Ubuntu-1ubuntu1
# VM invoker: /usr/lib/jvm/java-14-openjdk-armhf/bin/java
# VM options: -Djava.library.path=/home/ubuntu/lib/armv6hf-sdk/lib
# Warmup: 5 iterations, 10 s each
# Measurement: 5 iterations, 10 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Throughput, ops/time
# Benchmark: org.status6.tofximage.Benchmarks.forEachParallel

# Run progress: 7.14% complete, ETA 02:13:17
# Fork: 1 of 5
# Warmup Iteration   1: 2.096 ops/s
# Warmup Iteration   2: 2.388 ops/s
# Warmup Iteration   3: 2.436 ops/s
# Warmup Iteration   4: 2.416 ops/s
# Warmup Iteration   5: 2.420 ops/s
Iteration   1: 2.402 ops/s
Iteration   2: 2.464 ops/s
Iteration   3: 2.434 ops/s
Iteration   4: 2.467 ops/s
Iteration   5: 2.414 ops/s

# Run progress: 8.57% complete, ETA 02:11:27
# Fork: 2 of 5
# Warmup Iteration   1: 1.965 ops/s
# Warmup Iteration   2: 2.290 ops/s
# Warmup Iteration   3: 2.323 ops/s
# Warmup Iteration   4: 2.318 ops/s
# Warmup Iteration   5: 2.301 ops/s
Iteration   1: 2.334 ops/s
Iteration   2: 2.308 ops/s
Iteration   3: 2.286 ops/s
Iteration   4: 2.312 ops/s
Iteration   5: 2.317 ops/s

# Run progress: 10.00% complete, ETA 02:09:35
# Fork: 3 of 5
# Warmup Iteration   1: 2.061 ops/s
# Warmup Iteration   2: 2.435 ops/s
# Warmup Iteration   3: 2.445 ops/s
# Warmup Iteration   4: 2.437 ops/s
# Warmup Iteration   5: 2.453 ops/s
Iteration   1: 2.422 ops/s
Iteration   2: 2.400 ops/s
Iteration   3: 2.438 ops/s
Iteration   4: 2.434 ops/s
Iteration   5: 2.446 ops/s

# Run progress: 11.43% complete, ETA 02:07:35
# Fork: 4 of 5
# Warmup Iteration   1: 2.073 ops/s
# Warmup Iteration   2: 2.440 ops/s
# Warmup Iteration   3: 2.415 ops/s
# Warmup Iteration   4: 2.498 ops/s
# Warmup Iteration   5: 2.425 ops/s
Iteration   1: 2.423 ops/s
Iteration   2: 2.420 ops/s
Iteration   3: 2.410 ops/s
Iteration   4: 2.449 ops/s
Iteration   5: 2.431 ops/s

# Run progress: 12.86% complete, ETA 02:05:37
# Fork: 5 of 5
# Warmup Iteration   1: 1.972 ops/s
# Warmup Iteration   2: 2.325 ops/s
# Warmup Iteration   3: 2.323 ops/s
# Warmup Iteration   4: 2.328 ops/s
# Warmup Iteration   5: 2.375 ops/s
Iteration   1: 2.323 ops/s
Iteration   2: 2.316 ops/s
Iteration   3: 2.319 ops/s
Iteration   4: 2.350 ops/s
Iteration   5: 2.328 ops/s


Result "org.status6.tofximage.Benchmarks.forEachParallel":
  2.386 ±(99.9%) 0.044 ops/s [Average]
  (min, avg, max) = (2.286, 2.386, 2.467), stdev = 0.059
  CI (99.9%): [2.342, 2.430] (assumes normal distribution)


# JMH version: 1.23
# VM version: JDK 14.0.1, OpenJDK Server VM, 14.0.1+7-Ubuntu-1ubuntu1
# VM invoker: /usr/lib/jvm/java-14-openjdk-armhf/bin/java
# VM options: -Djava.library.path=/home/ubuntu/lib/armv6hf-sdk/lib
# Warmup: 5 iterations, 10 s each
# Measurement: 5 iterations, 10 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Throughput, ops/time
# Benchmark: org.status6.tofximage.Benchmarks.forLoopsNested

# Run progress: 14.29% complete, ETA 02:03:38
# Fork: 1 of 5
# Warmup Iteration   1: 3.731 ops/s
# Warmup Iteration   2: 4.242 ops/s
# Warmup Iteration   3: 4.279 ops/s
# Warmup Iteration   4: 4.270 ops/s
# Warmup Iteration   5: 4.276 ops/s
Iteration   1: 4.280 ops/s
Iteration   2: 4.276 ops/s
Iteration   3: 4.280 ops/s
Iteration   4: 4.280 ops/s
Iteration   5: 4.271 ops/s

# Run progress: 15.71% complete, ETA 02:01:27
# Fork: 2 of 5
# Warmup Iteration   1: 3.736 ops/s
# Warmup Iteration   2: 4.243 ops/s
# Warmup Iteration   3: 4.279 ops/s
# Warmup Iteration   4: 4.272 ops/s
